 ZONE F=POINT, I=         128 , J=         250
0.718750E+01  0.257216E+01  0.702241E+00            24
0.750000E+01  0.257216E+01  0.702241E+00            25
0.781250E+01  0.257216E+01  0.702241E+00            26
0.812500E+01  0.257216E+01  0.702241E+00            27
0.843750E+01  0.257216E+01  0.702241E+00            28
0.875000E+01  0.257216E+01  0.702241E+00            29
0.906250E+01  0.257216E+01  0.702241E+00            30
0.937500E+01  0.257216E+01  0.702241E+00            31
0.968750E+01  0.257216E+01  0.702241E+00            32
0.100000E+02  0.257216E+01  0.702241E+00            33
0.103125E+02  0.257216E+01  0.702241E+00            34
0.106250E+02  0.257216E+01  0.702241E+00            35
0.109375E+02  0.257216E+01  0.702241E+00            36
0.112500E+02  0.257216E+01  0.702241E+00            37
0.115625E+02  0.257216E+01  0.702241E+00            38
0.118750E+02  0.257216E+01  0.702241E+00            39
0.121875E+02  0.257216E+01  0.702241E+00            40
0.125000E+02  0.257216E+01  0.702241E+00            41
0.128125E+02  0.257216E+01  0.702241E+00            42
0.131250E+02  0.257216E+01  0.702241E+00            43
0.134375E+02  0.257216E+01  0.702241E+00            44
0.137500E+02  0.257216E+01  0.702241E+00            45
0.140625E+02  0.257216E+01  0.702241E+00            46
0.143750E+02  0.257216E+01  0.702241E+00            47
0.146875E+02  0.257216E+01  0.702241E+00            48
0.150000E+02  0.257216E+01  0.702241E+00            49
0.153125E+02  0.257216E+01  0.702241E+00            50
0.156250E+02  0.257216E+01  0.702241E+00            51
0.159375E+02  0.257216E+01  0.702241E+00            52
0.162500E+02  0.257216E+01  0.702241E+00            53
0.165625E+02  0.257216E+01  0.702241E+00            54
0.168750E+02  0.257216E+01  0.702241E+00            55
0.171875E+02  0.257216E+01  0.702241E+00            56
0.175000E+02  0.257216E+01  0.702241E+00            57
0.178125E+02  0.257216E+01  0.702241E+00            58
0.181250E+02  0.257216E+01  0.702241E+00            59
0.184375E+02  0.257216E+01  0.702241E+00            60
0.187500E+02  0.257216E+01  0.702241E+00            61
0.190625E+02  0.257216E+01  0.702241E+00            62
0.193750E+02  0.257216E+01  0.702241E+00            63
0.196875E+02  0.257216E+01  0.702241E+00            64
0.200000E+02  0.257216E+01  0.702241E+00            65
0.203125E+02  0.257216E+01  0.702241E+00            66
0.206250E+02  0.257216E+01  0.702241E+00            67
0.209375E+02  0.257216E+01  0.702241E+00            68
0.212500E+02  0.257216E+01  0.702241E+00            69
0.215625E+02  0.257216E+01  0.702241E+00            70
0.218750E+02  0.257216E+01  0.702241E+00            71
0.221875E+02  0.257216E+01  0.702241E+00            72
0.225000E+02  0.257216E+01  0.706354E+00            73
0.228125E+02  0.257216E+01  0.715625E+00            74
0.231250E+02  0.257216E+01  0.724806E+00            75
0.234375E+02  0.257216E+01  0.733893E+00            76
0.237500E+02  0.257216E+01  0.742882E+00            77
0.240625E+02  0.257216E+01  0.751769E+00            78
0.243750E+02  0.257216E+01  0.760551E+00            79
0.246875E+02  0.257216E+01  0.769225E+00            80
0.250000E+02  0.257216E+01  0.777785E+00            81
0.253125E+02  0.257216E+01  0.786229E+00            82
0.256250E+02  0.257216E+01  0.794554E+00            83
0.259375E+02  0.257216E+01  0.802756E+00            84
0.262500E+02  0.257216E+01  0.810830E+00            85
0.265625E+02  0.257216E+01  0.818775E+00            86
0.268750E+02  0.257216E+01  0.826586E+00            87
0.271875E+02  0.257216E+01  0.834261E+00            88
0.275000E+02  0.257216E+01  0.841796E+00            89
0.278125E+02  0.257216E+01  0.849188E+00            90
0.281250E+02  0.257216E+01  0.856434E+00            91
0.284375E+02  0.257216E+01  0.863531E+00            92
0.287500E+02  0.257216E+01  0.870476E+00            93
0.290625E+02  0.257216E+01  0.877265E+00            94
0.293750E+02  0.257216E+01  0.883897E+00            95
0.296875E+02  0.257216E+01  0.890369E+00            96
0.300000E+02  0.257216E+01  0.896677E+00            97
0.303125E+02  0.257216E+01  0.902819E+00            98
0.306250E+02  0.257216E+01  0.908792E+00            99
0.309375E+02  0.257216E+01  0.914595E+00           100
0.312500E+02  0.257216E+01  0.920224E+00           101
0.315625E+02  0.257216E+01  0.925678E+00           102
0.318750E+02  0.257216E+01  0.930953E+00           103
0.321875E+02  0.257216E+01  0.936048E+00           104
0.325000E+02  0.257216E+01  0.940961E+00           105
0.328125E+02  0.257216E+01  0.945689E+00           106
0.331250E+02  0.257216E+01  0.950231E+00           107
0.334375E+02  0.257216E+01  0.954584E+00           108
0.337500E+02  0.257216E+01  0.958747E+00           109
0.340625E+02  0.257216E+01  0.962719E+00           110
0.343750E+02  0.257216E+01  0.966496E+00           111
0.346875E+02  0.257216E+01  0.970079E+00           112
0.350000E+02  0.257216E+01  0.973465E+00           113
0.353125E+02  0.257216E+01  0.976653E+00           114
0.356250E+02  0.257216E+01  0.979642E+00           115
0.359375E+02  0.257216E+01  0.982430E+00           116
0.362500E+02  0.257216E+01  0.985016E+00           117
0.365625E+02  0.257216E+01  0.987399E+00           118
0.368750E+02  0.257216E+01  0.989578E+00           119
0.371875E+02  0.257216E+01  0.991553E+00           120
0.375000E+02  0.257216E+01  0.993322E+00           121
0.378125E+02  0.257216E+01  0.994884E+00           122
0.381250E+02  0.257216E+01  0.996240E+00           123
0.384375E+02  0.257216E+01  0.997388E+00           124
0.387500E+02  0.257216E+01  0.998328E+00           125
0.390625E+02  0.257216E+01  0.999059E+00           126
0.393750E+02  0.257216E+01  0.999582E+00           127
0.396875E+02  0.257216E+01  0.999895E+00           128
0.000000E+00  0.260884E+01  0.694687E+00             1
0.312500E+00  0.260884E+01  0.694687E+00             2
0.625000E+00  0.260884E+01  0.694687E+00             3
0.937500E+00  0.260884E+01  0.694687E+00             4
0.125000E+01  0.260884E+01  0.694687E+00             5
0.156250E+01  0.260884E+01  0.694687E+00             6
0.187500E+01  0.260884E+01  0.694687E+00             7
0.218750E+01  0.260884E+01  0.694687E+00             8
0.250000E+01  0.260884E+01  0.694687E+00             9
0.281250E+01  0.260884E+01  0.694687E+00            10
0.312500E+01  0.260884E+01  0.694687E+00            11
0.343750E+01  0.260884E+01  0.694687E+00            12
0.375000E+01  0.260884E+01  0.694687E+00            13
0.406250E+01  0.260884E+01  0.694687E+00            14
0.437500E+01  0.260884E+01  0.694687E+00            15
0.468750E+01  0.260884E+01  0.694687E+00            16
0.500000E+01  0.260884E+01  0.694687E+00            17
0.531250E+01  0.260884E+01  0.694687E+00            18
0.562500E+01  0.260884E+01  0.694687E+00            19
0.593750E+01  0.260884E+01  0.694687E+00            20
0.625000E+01  0.260884E+01  0.694687E+00            21
0.656250E+01  0.260884E+01  0.694687E+00            22
0.687500E+01  0.260884E+01  0.694687E+00            23
0.718750E+01  0.260884E+01  0.694687E+00            24
0.750000E+01  0.260884E+01  0.694687E+00            25
0.781250E+01  0.260884E+01  0.694687E+00            26
0.812500E+01  0.260884E+01  0.694687E+00            27
0.843750E+01  0.260884E+01  0.694687E+00            28
0.875000E+01  0.260884E+01  0.694687E+00            29
0.906250E+01  0.260884E+01  0.694687E+00            30
0.937500E+01  0.260884E+01  0.694687E+00            31
0.968750E+01  0.260884E+01  0.694687E+00            32
0.100000E+02  0.260884E+01  0.694687E+00            33
0.103125E+02  0.260884E+01  0.694687E+00            34
0.106250E+02  0.260884E+01  0.694687E+00            35
0.109375E+02  0.260884E+01  0.694687E+00            36
0.112500E+02  0.260884E+01  0.694687E+00            37
0.115625E+02  0.260884E+01  0.694687E+00            38
0.118750E+02  0.260884E+01  0.694687E+00            39
0.121875E+02  0.260884E+01  0.694687E+00            40
0.125000E+02  0.260884E+01  0.694687E+00            41
0.128125E+02  0.260884E+01  0.694687E+00            42
0.131250E+02  0.260884E+01  0.694687E+00            43
0.134375E+02  0.260884E+01  0.694687E+00            44
0.137500E+02  0.260884E+01  0.694687E+00            45
0.140625E+02  0.260884E+01  0.694687E+00            46
0.143750E+02  0.260884E+01  0.694687E+00            47
0.146875E+02  0.260884E+01  0.694687E+00            48
0.150000E+02  0.260884E+01  0.694687E+00            49
0.153125E+02  0.260884E+01  0.694687E+00            50
0.156250E+02  0.260884E+01  0.694687E+00            51
0.159375E+02  0.260884E+01  0.694687E+00            52
0.162500E+02  0.260884E+01  0.694687E+00            53
0.165625E+02  0.260884E+01  0.694687E+00            54
0.168750E+02  0.260884E+01  0.694687E+00            55
0.171875E+02  0.260884E+01  0.694687E+00            56
0.175000E+02  0.260884E+01  0.694687E+00            57
0.178125E+02  0.260884E+01  0.694687E+00            58
0.181250E+02  0.260884E+01  0.694687E+00            59
0.184375E+02  0.260884E+01  0.694687E+00            60
0.187500E+02  0.260884E+01  0.694687E+00            61
0.190625E+02  0.260884E+01  0.694687E+00            62
0.193750E+02  0.260884E+01  0.694687E+00            63
0.196875E+02  0.260884E+01  0.694687E+00            64
0.200000E+02  0.260884E+01  0.694687E+00            65
0.203125E+02  0.260884E+01  0.694687E+00            66
0.206250E+02  0.260884E+01  0.694687E+00            67
0.209375E+02  0.260884E+01  0.694687E+00            68
0.212500E+02  0.260884E+01  0.694687E+00            69
0.215625E+02  0.260884E+01  0.694687E+00            70
0.218750E+02  0.260884E+01  0.694687E+00            71
0.221875E+02  0.260884E+01  0.696996E+00            72
0.225000E+02  0.260884E+01  0.706354E+00            73
0.228125E+02  0.260884E+01  0.715625E+00            74
0.231250E+02  0.260884E+01  0.724806E+00            75
0.234375E+02  0.260884E+01  0.733893E+00            76
0.237500E+02  0.260884E+01  0.742882E+00            77
0.240625E+02  0.260884E+01  0.751769E+00            78
0.243750E+02  0.260884E+01  0.760551E+00            79
0.246875E+02  0.260884E+01  0.769225E+00            80
0.250000E+02  0.260884E+01  0.777785E+00            81
0.253125E+02  0.260884E+01  0.786229E+00            82
0.256250E+02  0.260884E+01  0.794554E+00            83
0.259375E+02  0.260884E+01  0.802756E+00            84
0.262500E+02  0.260884E+01  0.810830E+00            85
0.265625E+02  0.260884E+01  0.818775E+00            86
0.268750E+02  0.260884E+01  0.826586E+00            87
0.271875E+02  0.260884E+01  0.834261E+00            88
0.275000E+02  0.260884E+01  0.841796E+00            89
0.278125E+02  0.260884E+01  0.849188E+00            90
0.281250E+02  0.260884E+01  0.856434E+00            91
0.284375E+02  0.260884E+01  0.863531E+00            92
0.287500E+02  0.260884E+01  0.870476E+00            93
0.290625E+02  0.260884E+01  0.877265E+00            94
0.293750E+02  0.260884E+01  0.883897E+00            95
0.296875E+02  0.260884E+01  0.890369E+00            96
0.300000E+02  0.260884E+01  0.896677E+00            97
0.303125E+02  0.260884E+01  0.902819E+00            98
0.306250E+02  0.260884E+01  0.908792E+00            99
0.309375E+02  0.260884E+01  0.914595E+00           100
0.312500E+02  0.260884E+01  0.920224E+00           101
0.315625E+02  0.260884E+01  0.925678E+00           102
0.318750E+02  0.260884E+01  0.930953E+00           103
0.321875E+02  0.260884E+01  0.936048E+00           104
0.325000E+02  0.260884E+01  0.940961E+00           105
0.328125E+02  0.260884E+01  0.945689E+00           106
0.331250E+02  0.260884E+01  0.950231E+00           107
0.334375E+02  0.260884E+01  0.954584E+00           108
0.337500E+02  0.260884E+01  0.958747E+00           109
0.340625E+02  0.260884E+01  0.962719E+00           110
0.343750E+02  0.260884E+01  0.966496E+00           111
0.346875E+02  0.260884E+01  0.970079E+00           112
0.350000E+02  0.260884E+01  0.973465E+00           113
0.353125E+02  0.260884E+01  0.976653E+00           114
0.356250E+02  0.260884E+01  0.979642E+00           115
0.359375E+02  0.260884E+01  0.982430E+00           116
0.362500E+02  0.260884E+01  0.985016E+00           117
0.365625E+02  0.260884E+01  0.987399E+00           118
0.368750E+02  0.260884E+01  0.989578E+00           119
0.371875E+02  0.260884E+01  0.991553E+00           120
0.375000E+02  0.260884E+01  0.993322E+00           121
0.378125E+02  0.260884E+01  0.994884E+00           122
0.381250E+02  0.260884E+01  0.996240E+00           123
0.384375E+02  0.260884E+01  0.997388E+00           124
0.387500E+02  0.260884E+01  0.998328E+00           125
0.390625E+02  0.260884E+01  0.999059E+00           126
0.393750E+02  0.260884E+01  0.999582E+00           127
0.396875E+02  0.260884E+01  0.999895E+00           128
0.000000E+00  0.265194E+01  0.685742E+00             1
0.312500E+00  0.265194E+01  0.685742E+00             2
0.625000E+00  0.265194E+01  0.685742E+00             3
0.937500E+00  0.265194E+01  0.685742E+00             4
0.125000E+01  0.265194E+01  0.685742E+00             5
0.156250E+01  0.265194E+01  0.685742E+00             6
0.187500E+01  0.265194E+01  0.685742E+00             7
0.218750E+01  0.265194E+01  0.685742E+00             8
0.250000E+01  0.265194E+01  0.685742E+00             9
0.281250E+01  0.265194E+01  0.685742E+00            10
0.312500E+01  0.265194E+01  0.685742E+00            11
0.343750E+01  0.265194E+01  0.685742E+00            12
0.375000E+01  0.265194E+01  0.685742E+00            13
0.406250E+01  0.265194E+01  0.685742E+00            14
0.437500E+01  0.265194E+01  0.685742E+00            15
0.468750E+01  0.265194E+01  0.685742E+00            16
0.500000E+01  0.265194E+01  0.685742E+00            17
0.531250E+01  0.265194E+01  0.685742E+00            18
0.562500E+01  0.265194E+01  0.685742E+00            19
0.593750E+01  0.265194E+01  0.685742E+00            20
0.625000E+01  0.265194E+01  0.685742E+00            21
0.656250E+01  0.265194E+01  0.685742E+00            22
0.687500E+01  0.265194E+01  0.685742E+00            23
0.718750E+01  0.265194E+01  0.685742E+00            24
0.750000E+01  0.265194E+01  0.685742E+00            25
0.781250E+01  0.265194E+01  0.685742E+00            26
0.812500E+01  0.265194E+01  0.685742E+00            27
0.843750E+01  0.265194E+01  0.685742E+00            28
0.875000E+01  0.265194E+01  0.685742E+00            29
0.906250E+01  0.265194E+01  0.685742E+00            30
0.937500E+01  0.265194E+01  0.685742E+00            31
0.968750E+01  0.265194E+01  0.685742E+00            32
0.100000E+02  0.265194E+01  0.685742E+00            33
0.103125E+02  0.265194E+01  0.685742E+00            34
0.106250E+02  0.265194E+01  0.685742E+00            35
0.109375E+02  0.265194E+01  0.685742E+00            36
0.112500E+02  0.265194E+01  0.685742E+00            37
0.115625E+02  0.265194E+01  0.685742E+00            38
0.118750E+02  0.265194E+01  0.685742E+00            39
0.121875E+02  0.265194E+01  0.685742E+00            40
0.125000E+02  0.265194E+01  0.685742E+00            41
0.128125E+02  0.265194E+01  0.685742E+00            42
0.131250E+02  0.265194E+01  0.685742E+00            43
0.134375E+02  0.265194E+01  0.685742E+00            44
0.137500E+02  0.265194E+01  0.685742E+00            45
0.140625E+02  0.265194E+01  0.685742E+00            46
0.143750E+02  0.265194E+01  0.685742E+00            47
0.146875E+02  0.265194E+01  0.685742E+00            48
0.150000E+02  0.265194E+01  0.685742E+00            49
0.153125E+02  0.265194E+01  0.685742E+00            50
0.156250E+02  0.265194E+01  0.685742E+00            51
0.159375E+02  0.265194E+01  0.685742E+00            52
0.162500E+02  0.265194E+01  0.685742E+00            53
0.165625E+02  0.265194E+01  0.685742E+00            54
0.168750E+02  0.265194E+01  0.685742E+00            55
0.171875E+02  0.265194E+01  0.685742E+00            56
0.175000E+02  0.265194E+01  0.685742E+00            57
0.178125E+02  0.265194E+01  0.685742E+00            58
0.181250E+02  0.265194E+01  0.685742E+00            59
0.184375E+02  0.265194E+01  0.685742E+00            60
0.187500E+02  0.265194E+01  0.685742E+00            61
0.190625E+02  0.265194E+01  0.685742E+00            62
0.193750E+02  0.265194E+01  0.685742E+00            63
0.196875E+02  0.265194E+01  0.685742E+00            64
0.200000E+02  0.265194E+01  0.685742E+00            65
0.203125E+02  0.265194E+01  0.685742E+00            66
0.206250E+02  0.265194E+01  0.685742E+00            67
0.209375E+02  0.265194E+01  0.685742E+00            68
0.212500E+02  0.265194E+01  0.685742E+00            69
0.215625E+02  0.265194E+01  0.685742E+00            70
0.218750E+02  0.265194E+01  0.687556E+00            71
0.221875E+02  0.265194E+01  0.696996E+00            72
0.225000E+02  0.265194E+01  0.706354E+00            73
0.228125E+02  0.265194E+01  0.715625E+00            74
0.231250E+02  0.265194E+01  0.724806E+00            75
0.234375E+02  0.265194E+01  0.733893E+00            76
0.237500E+02  0.265194E+01  0.742882E+00            77
0.240625E+02  0.265194E+01  0.751769E+00            78
0.243750E+02  0.265194E+01  0.760551E+00            79
0.246875E+02  0.265194E+01  0.769225E+00            80
0.250000E+02  0.265194E+01  0.777785E+00            81
0.253125E+02  0.265194E+01  0.786229E+00            82
0.256250E+02  0.265194E+01  0.794554E+00            83
0.259375E+02  0.265194E+01  0.802756E+00            84
0.262500E+02  0.265194E+01  0.810830E+00            85
0.265625E+02  0.265194E+01  0.818775E+00            86
0.268750E+02  0.265194E+01  0.826586E+00            87
0.271875E+02  0.265194E+01  0.834261E+00            88
0.275000E+02  0.265194E+01  0.841796E+00            89
0.278125E+02  0.265194E+01  0.849188E+00            90
0.281250E+02  0.265194E+01  0.856434E+00            91
0.284375E+02  0.265194E+01  0.863531E+00            92
0.287500E+02  0.265194E+01  0.870476E+00            93
0.290625E+02  0.265194E+01  0.877265E+00            94
0.293750E+02  0.265194E+01  0.883897E+00            95
0.296875E+02  0.265194E+01  0.890369E+00            96
0.300000E+02  0.265194E+01  0.896677E+00            97
0.303125E+02  0.265194E+01  0.902819E+00            98
0.306250E+02  0.265194E+01  0.908792E+00            99
0.309375E+02  0.265194E+01  0.914595E+00           100
0.312500E+02  0.265194E+01  0.920224E+00           101
0.315625E+02  0.265194E+01  0.925678E+00           102
0.318750E+02  0.265194E+01  0.930953E+00           103
0.321875E+02  0.265194E+01  0.936048E+00           104
0.325000E+02  0.265194E+01  0.940961E+00           105
0.328125E+02  0.265194E+01  0.945689E+00           106
0.331250E+02  0.265194E+01  0.950231E+00           107
0.334375E+02  0.265194E+01  0.954584E+00           108
0.337500E+02  0.265194E+01  0.958747E+00           109
0.340625E+02  0.265194E+01  0.962719E+00           110
0.343750E+02  0.265194E+01  0.966496E+00           111
0.346875E+02  0.265194E+01  0.970079E+00           112
0.350000E+02  0.265194E+01  0.973465E+00           113
0.353125E+02  0.265194E+01  0.976653E+00           114
0.356250E+02  0.265194E+01  0.979642E+00           115
0.359375E+02  0.265194E+01  0.982430E+00           116
0.362500E+02  0.265194E+01  0.985016E+00           117
0.365625E+02  0.265194E+01  0.987399E+00           118
0.368750E+02  0.265194E+01  0.989578E+00           119
0.371875E+02  0.265194E+01  0.991553E+00           120
0.375000E+02  0.265194E+01  0.993322E+00           121
0.378125E+02  0.265194E+01  0.994884E+00           122
0.381250E+02  0.265194E+01  0.996240E+00           123
0.384375E+02  0.265194E+01  0.997388E+00           124
0.387500E+02  0.265194E+01  0.998328E+00           125
0.390625E+02  0.265194E+01  0.999059E+00           126
0.393750E+02  0.265194E+01  0.999582E+00           127
0.396875E+02  0.265194E+01  0.999895E+00           128
0.000000E+00  0.270076E+01  0.675528E+00             1
0.312500E+00  0.270076E+01  0.675528E+00             2
0.625000E+00  0.270076E+01  0.675528E+00             3
0.937500E+00  0.270076E+01  0.675528E+00             4
0.125000E+01  0.270076E+01  0.675528E+00             5
0.156250E+01  0.270076E+01  0.675528E+00             6
0.187500E+01  0.270076E+01  0.675528E+00             7
0.218750E+01  0.270076E+01  0.675528E+00             8
0.250000E+01  0.270076E+01  0.675528E+00             9
0.281250E+01  0.270076E+01  0.675528E+00            10
0.312500E+01  0.270076E+01  0.675528E+00            11
0.343750E+01  0.270076E+01  0.675528E+00            12
0.375000E+01  0.270076E+01  0.675528E+00            13
0.406250E+01  0.270076E+01  0.675528E+00            14
0.437500E+01  0.270076E+01  0.675528E+00            15
0.468750E+01  0.270076E+01  0.675528E+00            16
0.500000E+01  0.270076E+01  0.675528E+00            17
0.531250E+01  0.270076E+01  0.675528E+00            18
0.562500E+01  0.270076E+01  0.675528E+00            19
0.593750E+01  0.270076E+01  0.675528E+00            20
0.625000E+01  0.270076E+01  0.675528E+00            21
0.656250E+01  0.270076E+01  0.675528E+00            22
0.687500E+01  0.270076E+01  0.675528E+00            23
0.718750E+01  0.270076E+01  0.675528E+00            24
0.750000E+01  0.270076E+01  0.675528E+00            25
0.781250E+01  0.270076E+01  0.675528E+00            26
0.812500E+01  0.270076E+01  0.675528E+00            27
0.843750E+01  0.270076E+01  0.675528E+00            28
0.875000E+01  0.270076E+01  0.675528E+00            29
0.906250E+01  0.270076E+01  0.675528E+00            30
0.937500E+01  0.270076E+01  0.675528E+00            31
0.968750E+01  0.270076E+01  0.675528E+00            32
0.100000E+02  0.270076E+01  0.675528E+00            33
0.103125E+02  0.270076E+01  0.675528E+00            34
0.106250E+02  0.270076E+01  0.675528E+00            35
0.109375E+02  0.270076E+01  0.675528E+00            36
0.112500E+02  0.270076E+01  0.675528E+00            37
0.115625E+02  0.270076E+01  0.675528E+00            38
0.118750E+02  0.270076E+01  0.675528E+00            39
0.121875E+02  0.270076E+01  0.675528E+00            40
0.125000E+02  0.270076E+01  0.675528E+00            41
0.128125E+02  0.270076E+01  0.675528E+00            42
0.131250E+02  0.270076E+01  0.675528E+00            43
0.134375E+02  0.270076E+01  0.675528E+00            44
0.137500E+02  0.270076E+01  0.675528E+00            45
0.140625E+02  0.270076E+01  0.675528E+00            46
0.143750E+02  0.270076E+01  0.675528E+00            47
0.146875E+02  0.270076E+01  0.675528E+00            48
0.150000E+02  0.270076E+01  0.675528E+00            49
0.153125E+02  0.270076E+01  0.675528E+00            50
0.156250E+02  0.270076E+01  0.675528E+00            51
0.159375E+02  0.270076E+01  0.675528E+00            52
0.162500E+02  0.270076E+01  0.675528E+00            53
0.165625E+02  0.270076E+01  0.675528E+00            54
0.168750E+02  0.270076E+01  0.675528E+00            55
0.171875E+02  0.270076E+01  0.675528E+00            56
0.175000E+02  0.270076E+01  0.675528E+00            57
0.178125E+02  0.270076E+01  0.675528E+00            58
0.181250E+02  0.270076E+01  0.675528E+00            59
0.184375E+02  0.270076E+01  0.675528E+00            60
0.187500E+02  0.270076E+01  0.675528E+00            61
0.190625E+02  0.270076E+01  0.675528E+00            62
0.193750E+02  0.270076E+01  0.675528E+00            63
0.196875E+02  0.270076E+01  0.675528E+00            64
0.200000E+02  0.270076E+01  0.675528E+00            65
0.203125E+02  0.270076E+01  0.675528E+00            66
0.206250E+02  0.270076E+01  0.675528E+00            67
0.209375E+02  0.270076E+01  0.675528E+00            68
0.212500E+02  0.270076E+01  0.675528E+00            69
0.215625E+02  0.270076E+01  0.678038E+00            70
0.218750E+02  0.270076E+01  0.687556E+00            71
0.221875E+02  0.270076E+01  0.696996E+00            72
0.225000E+02  0.270076E+01  0.706354E+00            73
0.228125E+02  0.270076E+01  0.715625E+00            74
0.231250E+02  0.270076E+01  0.724806E+00            75
0.234375E+02  0.270076E+01  0.733893E+00            76
0.237500E+02  0.270076E+01  0.742882E+00            77
0.240625E+02  0.270076E+01  0.751769E+00            78
0.243750E+02  0.270076E+01  0.760551E+00            79
0.246875E+02  0.270076E+01  0.769225E+00            80
0.250000E+02  0.270076E+01  0.777785E+00            81
0.253125E+02  0.270076E+01  0.786229E+00            82
0.256250E+02  0.270076E+01  0.794554E+00            83
0.259375E+02  0.270076E+01  0.802756E+00            84
0.262500E+02  0.270076E+01  0.810830E+00            85
0.265625E+02  0.270076E+01  0.818775E+00            86
0.268750E+02  0.270076E+01  0.826586E+00            87
0.271875E+02  0.270076E+01  0.834261E+00            88
0.275000E+02  0.270076E+01  0.841796E+00            89
0.278125E+02  0.270076E+01  0.849188E+00            90
0.281250E+02  0.270076E+01  0.856434E+00            91
0.284375E+02  0.270076E+01  0.863531E+00            92
0.287500E+02  0.270076E+01  0.870476E+00            93
0.290625E+02  0.270076E+01  0.877265E+00            94
0.293750E+02  0.270076E+01  0.883897E+00            95
0.296875E+02  0.270076E+01  0.890369E+00            96
0.300000E+02  0.270076E+01  0.896677E+00            97
0.303125E+02  0.270076E+01  0.902819E+00            98
0.306250E+02  0.270076E+01  0.908792E+00            99
0.309375E+02  0.270076E+01  0.914595E+00           100
0.312500E+02  0.270076E+01  0.920224E+00           101
0.315625E+02  0.270076E+01  0.925678E+00           102
0.318750E+02  0.270076E+01  0.930953E+00           103
0.321875E+02  0.270076E+01  0.936048E+00           104
0.325000E+02  0.270076E+01  0.940961E+00           105
0.328125E+02  0.270076E+01  0.945689E+00           106
0.331250E+02  0.270076E+01  0.950231E+00           107
0.334375E+02  0.270076E+01  0.954584E+00           108
0.337500E+02  0.270076E+01  0.958747E+00           109
0.340625E+02  0.270076E+01  0.962719E+00           110
0.343750E+02  0.270076E+01  0.966496E+00           111
0.346875E+02  0.270076E+01  0.970079E+00           112
0.350000E+02  0.270076E+01  0.973465E+00           113
0.353125E+02  0.270076E+01  0.976653E+00           114
0.356250E+02  0.270076E+01  0.979642E+00           115
0.359375E+02  0.270076E+01  0.982430E+00           116
0.362500E+02  0.270076E+01  0.985016E+00           117
0.365625E+02  0.270076E+01  0.987399E+00           118
0.368750E+02  0.270076E+01  0.989578E+00           119
0.371875E+02  0.270076E+01  0.991553E+00           120
0.375000E+02  0.270076E+01  0.993322E+00           121
0.378125E+02  0.270076E+01  0.994884E+00           122
0.381250E+02  0.270076E+01  0.996240E+00           123
0.384375E+02  0.270076E+01  0.997388E+00           124
0.387500E+02  0.270076E+01  0.998328E+00           125
0.390625E+02  0.270076E+01  0.999059E+00           126
0.393750E+02  0.270076E+01  0.999582E+00           127
0.396875E+02  0.270076E+01  0.999895E+00           128
0.000000E+00  0.275449E+01  0.664189E+00             1
0.312500E+00  0.275449E+01  0.664189E+00             2
0.625000E+00  0.275449E+01  0.664189E+00             3
0.937500E+00  0.275449E+01  0.664189E+00             4
0.125000E+01  0.275449E+01  0.664189E+00             5
0.156250E+01  0.275449E+01  0.664189E+00             6
0.187500E+01  0.275449E+01  0.664189E+00             7
0.218750E+01  0.275449E+01  0.664189E+00             8
0.250000E+01  0.275449E+01  0.664189E+00             9
0.281250E+01  0.275449E+01  0.664189E+00            10
0.312500E+01  0.275449E+01  0.664189E+00            11
0.343750E+01  0.275449E+01  0.664189E+00            12
0.375000E+01  0.275449E+01  0.664189E+00            13
0.406250E+01  0.275449E+01  0.664189E+00            14
0.437500E+01  0.275449E+01  0.664189E+00            15
0.468750E+01  0.275449E+01  0.664189E+00            16
0.500000E+01  0.275449E+01  0.664189E+00            17
0.531250E+01  0.275449E+01  0.664189E+00            18
0.562500E+01  0.275449E+01  0.664189E+00            19
0.593750E+01  0.275449E+01  0.664189E+00            20
0.625000E+01  0.275449E+01  0.664189E+00            21
0.656250E+01  0.275449E+01  0.664189E+00            22
0.687500E+01  0.275449E+01  0.664189E+00            23
0.718750E+01  0.275449E+01  0.664189E+00            24
0.750000E+01  0.275449E+01  0.664189E+00            25
0.781250E+01  0.275449E+01  0.664189E+00            26
0.812500E+01  0.275449E+01  0.664189E+00            27
0.843750E+01  0.275449E+01  0.664189E+00            28
0.875000E+01  0.275449E+01  0.664189E+00            29
0.906250E+01  0.275449E+01  0.664189E+00            30
0.937500E+01  0.275449E+01  0.664189E+00            31
0.968750E+01  0.275449E+01  0.664189E+00            32
0.100000E+02  0.275449E+01  0.664189E+00            33
0.103125E+02  0.275449E+01  0.664189E+00            34
0.106250E+02  0.275449E+01  0.664189E+00            35
0.109375E+02  0.275449E+01  0.664189E+00            36
0.112500E+02  0.275449E+01  0.664189E+00            37
0.115625E+02  0.275449E+01  0.664189E+00            38
0.118750E+02  0.275449E+01  0.664189E+00            39
0.121875E+02  0.275449E+01  0.664189E+00            40
0.125000E+02  0.275449E+01  0.664189E+00            41
0.128125E+02  0.275449E+01  0.664189E+00            42
0.131250E+02  0.275449E+01  0.664189E+00            43
0.134375E+02  0.275449E+01  0.664189E+00            44
0.137500E+02  0.275449E+01  0.664189E+00            45
0.140625E+02  0.275449E+01  0.664189E+00            46
0.143750E+02  0.275449E+01  0.664189E+00            47
0.146875E+02  0.275449E+01  0.664189E+00            48
